transaction_id,date,client_id,montant,type_transaction,pays,statut_fraude
T000164,2023-10-11,C0068,398.04,retrait,DE,0
T000165,2023-01-28,C0133,146.41,retrait,BR,0
T000166,2023-04-18,C0120,130.47,virement,BR,0
T000167,2023-02-13,C0037,5.2,achat_en_ligne,IN,0
T000168,2023-12-06,C0072,83.48,virement,FR,0
T000169,2023-10-13,C0127,95.67,retrait,FR,0
T000170,2023-11-27,C0106,101.77,virement,FR,0
T000171,2023-05-08,C0092,173.58,retrait,DE,0
T000172,2023-12-14,C0031,152.54,retrait,CN,0
T000173,2023-08-19,C0122,187.25,virement,FR,0
T000174,2023-07-09,C0137,289.53,paiement,FR,0
T000175,2023-08-13,C0051,335.31,virement,US,0
T000176,2023-10-10,C0029,253.26,paiement,DE,0
T000177,2023-05-01,C0040,622.56,retrait,IN,0
T000178,2023-04-26,C0041,3.68,retrait,FR,0
T000179,2023-08-21,C0011,43.58,paiement,US,0
T000180,2023-09-16,C0151,1.52,retrait,BR,0
T000181,2023-12-25,C0001,208.53,paiement,IN,0
T000182,2023-07-17,C0046,456.62,paiement,FR,0
T000183,2023-05-17,C0101,55.81,retrait,FR,0
T000184,2023-11-14,C0149,523.55,achat_en_ligne,US,0
T000185,2023-06-14,C0090,12.43,paiement,DE,0
T000186,2023-08-13,C0110,544.95,virement,FR,0
T000187,2023-11-03,C0164,86.66,virement,BR,0
T000188,2023-08-22,C0182,21.39,retrait,FR,0
T000189,2023-06-21,C0057,133.06,achat_en_ligne,BR,0
T000190,2023-06-01,C0001,59.35,retrait,IN,0
T000191,2023-11-11,C0063,67.06,achat_en_ligne,IN,0
T000192,2023-06-09,C0182,73.43,paiement,CN,0
T000193,2023-04-06,C0055,324.94,paiement,CN,0
T000194,2023-08-21,C0115,154.94,paiement,BR,0
T000195,2023-06-29,C0168,74.59,paiement,DE,0
T000196,2023-04-23,C0143,188.49,virement,FR,0
T000197,2023-11-14,C0149,251.86,virement,FR,0
T000198,2023-02-21,C0175,63.66,retrait,CN,0
T000199,2023-09-25,C0053,106.73,achat_en_ligne,BR,0
T000200,2023-10-22,C0137,26.0,paiement,FR,1
T000201,2023-04-23,C0180,39.97,paiement,FR,0
T000202,2023-04-11,C0057,228.59,achat_en_ligne,DE,0
T000203,2023-04-23,C0117,40.04,achat_en_ligne,US,0
T000204,2023-03-22,C0154,148.96,retrait,CN,0
T000205,2023-07-06,C0169,246.92,achat_en_ligne,CN,0
T000206,2023-04-23,C0035,22.61,paiement,US,0
T000207,2023-01-02,C0063,167.55,paiement,FR,0
T000208,2023-05-10,C0025,59.29,paiement,DE,0
T000209,2023-08-08,C0090,658.97,paiement,DE,0
T000210,2023-02-23,C0075,132.15,paiement,CN,0
T000211,2023-12-09,C0038,327.97,retrait,DE,0
T000212,2023-08-12,C0130,159.8,paiement,IN,0
T000213,2023-08-13,C0135,8.88,retrait,US,1
T000214,2023-05-06,C0162,200.56,paiement,FR,0
T000215,2023-05-10,C0091,604.84,virement,IN,0
T000216,2023-02-22,C0017,184.07,virement,US,0
T000217,2023-06-21,C0128,342.06,virement,BR,0
T000218,2023-08-06,C0171,431.19,virement,CN,1
T000219,2023-06-09,C0187,51.77,retrait,DE,0
T000220,2023-07-17,C0108,47.66,retrait,BR,0
T000221,2023-09-04,C0179,188.83,achat_en_ligne,DE,0
T000222,2023-11-20,C0182,105.88,paiement,IN,0
T000223,2023-07-22,C0152,366.34,virement,FR,0
T000224,2023-07-03,C0025,460.56,retrait,FR,0
T000225,2023-05-03,C0199,87.21,paiement,FR,0
T000226,2023-09-12,C0180,54.07,paiement,DE,0
T000227,2023-10-21,C0198,303.3,retrait,BR,0
T000228,2023-10-07,C0088,64.26,virement,FR,0
T000229,2023-11-21,C0161,345.89,achat_en_ligne,BR,0
T000230,2023-04-08,C0177,110.24,paiement,DE,0
T000231,2023-07-17,C0029,220.25,achat_en_ligne,IN,0
T000232,2023-08-28,C0063,20.08,virement,BR,0
T000233,2023-05-24,C0150,195.56,virement,IN,0
T000234,2023-04-07,C0154,120.21,achat_en_ligne,DE,0
T000235,2023-07-20,C0156,176.67,virement,DE,1
T000236,2023-05-04,C0114,36.79,paiement,CN,0
T000237,2023-07-06,C0049,267.02,achat_en_ligne,DE,0
T000238,2023-11-22,C0199,397.26,virement,DE,0
T000239,2023-12-15,C0081,48.86,achat_en_ligne,US,0
T000240,2023-09-16,C0084,20.12,paiement,FR,0
T000241,2023-05-28,C0105,4.78,virement,CN,0
T000242,2023-09-09,C0177,205.43,paiement,CN,0
T000243,2023-12-12,C0148,186.84,virement,CN,0
T000244,2023-05-27,C0118,158.24,retrait,US,0
T000245,2023-05-28,C0086,52.78,virement,IN,0
T000246,2023-12-18,C0063,99.16,achat_en_ligne,DE,0
T000247,2023-07-18,C0189,180.52,virement,FR,0
T000248,2023-11-04,C0104,137.34,paiement,BR,0
T000249,2023-05-08,C0049,881.03,paiement,IN,0
T000250,2023-02-08,C0071,29.34,virement,DE,0
T000251,2023-12-04,C0001,237.58,achat_en_ligne,US,0
T000252,2023-12-26,C0141,103.61,retrait,DE,0
T000253,2023-05-09,C0179,111.79,achat_en_ligne,DE,0
T000254,2023-09-24,C0123,252.88,retrait,US,0
T000255,2023-05-31,C0184,235.81,paiement,CN,0
T000256,2023-10-25,C0062,947.88,achat_en_ligne,CN,0
T000257,2023-04-09,C0032,27.48,retrait,FR,0
T000258,2023-09-20,C0158,21.99,virement,FR,0
T000259,2023-09-09,C0029,257.72,paiement,CN,0
T000260,2023-05-24,C0049,172.73,virement,IN,0
T000261,2023-12-12,C0173,64.09,paiement,BR,0
T000262,2023-04-22,C0030,16.55,achat_en_ligne,DE,0
T000263,2023-03-01,C0144,17.91,achat_en_ligne,BR,0
T000264,2023-01-02,C0168,449.22,paiement,DE,0
T000265,2023-10-31,C0019,42.61,paiement,CN,0
T000266,2023-09-11,C0018,78.13,paiement,FR,0
T000267,2023-05-20,C0001,51.41,achat_en_ligne,IN,0
T000268,2023-02-06,C0078,87.7,retrait,FR,0
T000269,2023-06-09,C0115,14.39,virement,BR,0
T000270,2023-01-09,C0175,146.4,virement,FR,0
T000271,2023-08-21,C0194,14.0,achat_en_ligne,CN,0
T000272,2023-04-09,C0113,322.24,virement,IN,0
T000273,2023-05-27,C0114,53.24,paiement,BR,0
T000274,2023-10-31,C0166,155.31,retrait,IN,0
T000275,2023-07-27,C0179,424.18,virement,DE,0
T000276,2023-05-11,C0063,210.47,retrait,FR,0
T000277,2023-06-01,C0132,152.27,paiement,IN,0
T000278,2023-02-23,C0129,78.41,virement,US,0
T000279,2023-04-30,C0008,80.99,achat_en_ligne,FR,0
T000280,2023-06-10,C0157,221.42,retrait,DE,0
T000281,2023-04-26,C0055,1027.9,paiement,IN,0
T000282,2023-03-16,C0103,216.85,retrait,BR,0
T000283,2023-04-23,C0131,163.19,virement,DE,0
T000284,2023-04-14,C0032,262.35,virement,US,0
T000285,2023-12-06,C0010,125.17,achat_en_ligne,IN,0
T000286,2023-09-11,C0110,12.41,paiement,CN,0
T000287,2023-08-15,C0162,165.24,paiement,FR,0
T000288,2023-04-22,C0124,632.24,achat_en_ligne,BR,0
T000289,2023-04-09,C0087,38.55,achat_en_ligne,CN,0
T000290,2023-06-02,C0055,234.24,paiement,IN,0
T000291,2023-12-15,C0032,44.86,retrait,IN,0
T000292,2023-12-04,C0178,153.5,retrait,DE,0
T000293,2023-07-13,C0135,20.33,achat_en_ligne,IN,1
T000294,2023-11-06,C0093,119.7,retrait,BR,0
T000295,2023-06-12,C0008,282.25,paiement,CN,0
T000296,2023-07-27,C0065,85.41,virement,BR,0
T000297,2023-06-18,C0057,218.67,virement,US,0
T000298,2023-06-10,C0067,317.39,retrait,US,0
T000299,2023-03-09,C0187,523.95,achat_en_ligne,FR,0
T000300,2023-10-16,C0072,53.48,achat_en_ligne,FR,0
T000301,2023-10-04,C0054,101.94,achat_en_ligne,US,0
T000302,2023-10-31,C0067,33.07,achat_en_ligne,IN,0
T000303,2023-05-15,C0051,978.13,achat_en_ligne,BR,0
T000304,2023-07-14,C0097,523.46,retrait,US,0
T000305,2023-05-08,C0092,155.29,virement,FR,0
T000306,2023-02-02,C0008,369.07,virement,US,0
T000307,2023-06-25,C0162,147.19,retrait,IN,1
T000308,2023-01-22,C0035,195.41,achat_en_ligne,US,0
T000309,2023-08-26,C0096,18.67,retrait,BR,1
T000310,2023-06-07,C0088,281.52,virement,CN,0
T000311,2023-02-07,C0078,27.33,paiement,IN,0
T000312,2023-08-18,C0032,349.82,retrait,FR,0
T000313,2023-12-31,C0120,304.68,achat_en_ligne,BR,0
T000314,2023-02-20,C0046,246.71,virement,US,0
T000315,2023-09-21,C0144,7.37,virement,US,0
T000316,2023-10-10,C0196,72.23,virement,CN,0
T000317,2023-01-27,C0165,61.06,virement,FR,0
T000318,2023-08-14,C0182,89.3,achat_en_ligne,FR,0
T000319,2023-10-04,C0142,18.34,paiement,DE,0
T000320,2023-10-13,C0055,552.79,virement,FR,0
T000321,2023-04-07,C0176,161.4,retrait,CN,0
T000322,2023-10-11,C0007,72.92,paiement,DE,0
T000323,2023-11-13,C0074,101.16,virement,DE,0
T000324,2023-10-31,C0007,118.55,paiement,US,0
T000325,2023-05-27,C0161,183.56,retrait,US,0
T000326,2023-01-04,C0151,145.0,virement,FR,0
T000327,2023-02-04,C0085,503.63,retrait,DE,0
T000328,2023-07-11,C0147,137.42,achat_en_ligne,US,0
T000329,2023-02-18,C0112,969.65,virement,CN,0
T000330,2023-01-17,C0125,381.33,virement,US,0
T000331,2023-06-21,C0147,46.77,virement,IN,0
T000332,2023-08-08,C0036,533.56,virement,IN,0
T000333,2023-06-07,C0029,24.74,achat_en_ligne,US,0
T000334,2023-02-15,C0188,340.15,virement,DE,0
T000335,2023-01-06,C0082,95.81,paiement,DE,0
T000336,2023-04-09,C0002,420.7,virement,BR,0
T000337,2023-08-21,C0129,405.08,achat_en_ligne,IN,0
T000338,2023-02-06,C0047,327.9,virement,CN,0
T000339,2023-10-07,C0197,312.16,paiement,DE,0
T000340,2023-12-15,C0148,72.68,achat_en_ligne,FR,0
T000341,2023-10-29,C0011,16.88,achat_en_ligne,IN,0
T000342,2023-06-30,C0130,103.16,paiement,CN,0
T000343,2023-04-05,C0195,38.12,paiement,CN,0
T000344,2023-04-09,C0119,237.46,paiement,DE,0
T000345,2023-07-07,C0140,84.96,paiement,CN,0
T000346,2023-04-26,C0020,742.72,paiement,DE,0
T000347,2023-07-10,C0005,204.87,achat_en_ligne,US,0
T000348,2023-09-10,C0037,345.74,achat_en_ligne,IN,0
T000349,2023-06-10,C0166,28.43,virement,BR,0
T000350,2023-09-13,C0137,396.12,virement,US,1
T000351,2023-11-19,C0053,512.16,retrait,IN,0
T000352,2023-05-08,C0172,133.52,virement,DE,0
T000353,2023-01-18,C0099,186.41,virement,IN,0
T000354,2023-10-08,C0086,289.47,paiement,DE,0
T000355,2023-08-11,C0108,38.44,paiement,US,0
T000356,2023-02-23,C0024,139.66,virement,FR,0
T000357,2023-02-27,C0081,101.72,retrait,FR,0
T000358,2023-11-19,C0158,31.65,paiement,IN,0
T000359,2023-12-26,C0120,91.63,virement,FR,0
T000360,2023-06-23,C0059,14.12,virement,DE,0
T000361,2023-10-07,C0128,5.23,achat_en_ligne,CN,0
T000362,2023-04-24,C0114,29.04,retrait,DE,0
T000363,2023-10-15,C0115,659.99,achat_en_ligne,CN,0
T000364,2023-12-08,C0014,159.49,retrait,US,0
T000365,2023-05-31,C0009,675.24,paiement,BR,0
T000366,2023-05-07,C0040,113.3,retrait,CN,0
T000367,2023-06-04,C0194,74.74,virement,FR,0
T000368,2023-09-30,C0025,141.1,virement,DE,0
T000369,2023-04-14,C0103,115.79,retrait,US,0
T000370,2023-10-26,C0022,22.33,retrait,FR,0
T000371,2023-09-03,C0004,204.79,retrait,US,0
T000372,2023-06-25,C0154,48.68,achat_en_ligne,BR,0
T000373,2023-02-08,C0186,193.3,retrait,DE,0
T000374,2023-06-19,C0029,210.08,paiement,IN,0
T000375,2023-09-04,C0109,32.98,achat_en_ligne,DE,0
T000376,2023-01-26,C0098,12.66,achat_en_ligne,BR,0
T000377,2023-12-21,C0037,303.52,retrait,DE,0
T000378,2023-11-02,C0075,123.16,paiement,IN,0
T000379,2023-01-13,C0070,11.98,achat_en_ligne,CN,0
T000380,2023-11-12,C0146,1054.39,virement,US,0
T000381,2023-11-09,C0128,11.9,achat_en_ligne,IN,0
T000382,2023-02-05,C0085,237.51,retrait,FR,0
T000383,2023-06-22,C0042,823.06,paiement,BR,0
T000384,2023-01-20,C0100,54.67,retrait,CN,0
T000385,2023-11-17,C0041,30.69,virement,FR,0
T000386,2023-09-21,C0166,25.88,virement,FR,1
T000387,2023-05-22,C0034,72.27,virement,BR,0
T000388,2023-05-23,C0017,21.3,retrait,CN,0
T000389,2023-04-02,C0165,235.64,achat_en_ligne,FR,0
T000390,2023-12-20,C0153,12.86,retrait,FR,0
T000391,2023-11-18,C0122,142.43,paiement,CN,0
T000392,2023-10-15,C0076,1142.58,achat_en_ligne,DE,0
T000393,2023-08-03,C0087,336.37,virement,FR,0
T000394,2023-12-08,C0117,191.02,retrait,US,0
T000395,2023-02-20,C0106,73.13,virement,CN,0
T000396,2023-06-02,C0086,195.58,virement,FR,0
T000397,2023-07-05,C0027,149.75,paiement,BR,0
T000398,2023-03-04,C0057,111.05,achat_en_ligne,IN,0
T000399,2023-07-09,C0031,28.02,paiement,US,0
T000400,2023-05-05,C0134,435.37,paiement,IN,0
T000401,2023-05-30,C0168,119.49,paiement,IN,0
T000402,2023-11-10,C0098,43.29,virement,FR,0
T000403,2023-02-27,C0012,91.7,paiement,US,0
T000404,2023-12-08,C0053,106.93,paiement,US,0
T000405,2023-11-01,C0199,351.52,achat_en_ligne,DE,0
T000406,2023-06-29,C0138,264.56,achat_en_ligne,IN,0
T000407,2023-06-19,C0173,293.33,paiement,US,0
T000408,2023-11-22,C0145,2.22,achat_en_ligne,DE,0
T000409,2023-09-28,C0154,107.62,achat_en_ligne,CN,0
T000410,2023-02-23,C0190,131.3,paiement,DE,0
T000411,2023-04-11,C0122,3.88,virement,BR,0
T000412,2023-09-21,C0046,60.17,paiement,FR,0
T000413,2023-02-22,C0064,285.66,achat_en_ligne,CN,0
T000414,2023-03-01,C0130,29.49,virement,CN,0
T000415,2023-04-18,C0054,153.28,retrait,BR,0
T000416,2023-01-05,C0107,48.47,virement,DE,0
T000417,2023-04-13,C0193,2.44,achat_en_ligne,FR,1
T000418,2023-07-15,C0051,55.2,virement,DE,1
T000419,2023-09-19,C0181,744.89,paiement,US,0
T000420,2023-12-31,C0036,323.43,retrait,DE,0
T000421,2023-12-16,C0115,641.67,retrait,CN,0
T000422,2023-02-16,C0026,133.83,retrait,FR,0
T000423,2023-12-21,C0029,23.25,achat_en_ligne,DE,0
T000424,2023-11-07,C0149,158.8,achat_en_ligne,FR,0
T000425,2023-11-04,C0011,121.17,retrait,FR,0
T000426,2023-05-24,C0040,372.04,virement,US,0
T000427,2023-09-26,C0011,20.65,retrait,US,0
T000428,2023-05-04,C0164,133.98,virement,CN,1
T000429,2023-04-16,C0113,32.52,virement,BR,0
T000430,2023-06-07,C0187,78.51,achat_en_ligne,FR,0
T000431,2023-05-27,C0039,267.39,virement,BR,0
T000432,2023-05-25,C0054,129.26,retrait,CN,0
T000433,2023-04-30,C0098,94.29,achat_en_ligne,FR,0
T000434,2023-11-15,C0055,100.33,paiement,FR,0
T000435,2023-10-02,C0111,123.03,paiement,IN,0
T000436,2023-04-02,C0152,307.44,achat_en_ligne,BR,0
T000437,2023-02-27,C0150,445.28,retrait,DE,0
T000438,2023-12-12,C0069,621.71,paiement,US,0
T000439,2023-08-17,C0056,309.2,paiement,DE,0
T000440,2023-04-27,C0033,75.79,virement,BR,0
T000441,2023-11-14,C0036,233.04,virement,US,0
T000442,2023-10-06,C0148,115.11,retrait,DE,0
T000443,2023-05-07,C0081,58.79,achat_en_ligne,IN,0
T000444,2023-05-09,C0190,367.61,retrait,US,0
T000445,2023-02-27,C0109,7.84,achat_en_ligne,FR,0
T000446,2023-05-02,C0154,464.07,paiement,DE,0
T000447,2023-01-01,C0194,123.79,virement,US,0
T000448,2023-08-27,C0073,202.78,retrait,IN,0
T000449,2023-10-17,C0040,215.38,retrait,US,0
T000450,2023-04-06,C0017,450.98,achat_en_ligne,US,0
T000451,2023-05-06,C0129,202.49,achat_en_ligne,IN,0
T000452,2023-04-28,C0061,190.35,retrait,DE,0
T000453,2023-02-17,C0171,13.8,achat_en_ligne,CN,0
T000454,2023-03-30,C0104,146.13,retrait,DE,0
T000455,2023-08-25,C0042,32.54,retrait,BR,0
T000456,2023-09-29,C0025,267.45,retrait,IN,1
T000457,2023-07-08,C0039,143.58,paiement,DE,0
T000458,2023-07-11,C0035,228.03,achat_en_ligne,US,0
T000459,2023-03-10,C0131,8.51,virement,IN,0
T000460,2023-10-05,C0108,17.72,virement,FR,0
T000461,2023-12-15,C0172,251.98,achat_en_ligne,DE,0
T000462,2023-09-04,C0179,14.96,retrait,IN,0
T000463,2023-03-17,C0102,14.78,virement,DE,0
T000464,2023-06-03,C0098,2.44,virement,IN,0
T000465,2023-05-24,C0012,627.01,achat_en_ligne,US,0
T000466,2023-03-27,C0019,267.51,virement,FR,0
T000467,2023-07-04,C0101,87.16,retrait,FR,0
T000468,2023-10-12,C0044,70.35,achat_en_ligne,BR,0
T000469,2023-08-08,C0187,86.07,retrait,IN,0
T000470,2023-03-10,C0049,298.02,virement,DE,0
T000471,2023-02-16,C0189,216.57,virement,FR,0
T000472,2023-04-04,C0017,40.96,retrait,FR,0
T000473,2023-08-26,C0074,38.26,paiement,CN,0
T000474,2023-07-23,C0057,20.72,virement,CN,1
T000475,2023-08-06,C0055,215.94,paiement,FR,0
T000476,2023-12-07,C0047,289.1,virement,IN,0
T000477,2023-02-08,C0012,61.59,paiement,BR,0
T000478,2023-04-10,C0062,4.23,paiement,FR,0
T000479,2023-10-16,C0080,17.15,paiement,US,0
T000480,2023-09-11,C0083,687.53,retrait,DE,0
T000481,2023-08-10,C0008,70.04,paiement,BR,0
T000482,2023-12-23,C0149,293.26,paiement,US,0
T000483,2023-01-23,C0081,195.99,paiement,BR,0
T000484,2023-09-07,C0118,96.23,virement,US,0
T000485,2023-01-10,C0198,46.06,paiement,DE,0
