date,produit,catégorie,montant,client_id
2023-01-26,Smartphone X,Téléphonie,656.47,C0035
2023-02-24,Enceinte Portable,Audio,246.8,C0017
2023-02-03,Chaise Ergonomique,Mobilier,479.03,C0005
2023-03-04,Chaise Ergonomique,Mobilier,871.4,C0019
2023-02-10,"Tablette 10""",Informatique,1641.49,C0035
2023-06-30,Imprimante Laser,Bureautique,1725.64,C0040
2023-06-17,Enceinte Portable,Audio,43.7,C0001
2023-06-20,Enceinte Portable,Audio,1036.17,C0020
2023-06-19,Smartphone X,Téléphonie,852.3,C0009
2023-03-09,Smartphone X,Téléphonie,467.55,C0007
2023-05-22,Casque Bluetooth,Audio,266.13,C0018
2023-03-14,Webcam HD,Accessoires,695.1,C0014
2023-03-29,Montre Connectée,Wearables,1887.53,C0044
2023-06-12,Imprimante Laser,Bureautique,666.71,C0033
2023-05-06,Imprimante Laser,Bureautique,1052.02,C0004
2023-01-24,Souris Gaming,Accessoires,1414.95,C0018
2023-01-12,Laptop Pro 15,Informatique,746.35,C0022
2023-02-03,Imprimante Laser,Bureautique,1944.41,C0011
2023-04-24,Enceinte Portable,Audio,1926.02,C0046
2023-04-20,Enceinte Portable,Audio,526.01,C0001
2023-01-29,Smartphone X,Téléphonie,1009.58,C0045
2023-02-08,Enceinte Portable,Audio,622.73,C0003
2023-04-05,Webcam HD,Accessoires,591.14,C0036
2023-02-07,Souris Gaming,Accessoires,102.67,C0009
2023-01-11,Imprimante Laser,Bureautique,1230.84,C0024
2023-01-11,Chaise Ergonomique,Mobilier,1020.28,C0014
2023-06-24,Montre Connectée,Wearables,131.41,C0043
2023-01-27,Chaise Ergonomique,Mobilier,578.93,C0050
2023-05-24,Souris Gaming,Accessoires,1819.28,C0040
2023-02-09,Montre Connectée,Wearables,501.94,C0011
2023-02-15,Souris Gaming,Accessoires,315.44,C0002
2023-02-15,Chaise Ergonomique,Mobilier,994.22,C0027
2023-06-21,Montre Connectée,Wearables,1971.73,C0018
2023-02-10,Smartphone X,Téléphonie,506.85,C0025
2023-01-10,"Tablette 10""",Informatique,1354.11,C0015
2023-02-21,"Tablette 10""",Informatique,1530.39,C0023
2023-03-20,Montre Connectée,Wearables,498.15,C0015
2023-01-07,Montre Connectée,Wearables,1464.59,C0026
2023-03-26,Imprimante Laser,Bureautique,754.53,C0005
2023-03-13,Chaise Ergonomique,Mobilier,1275.64,C0042
2023-05-11,Souris Gaming,Accessoires,1278.05,C0044
2023-05-18,Chaise Ergonomique,Mobilier,1085.48,C0002
2023-01-30,Imprimante Laser,Bureautique,207.87,C0012
2023-05-29,Imprimante Laser,Bureautique,1675.55,C0003
2023-01-28,Webcam HD,Accessoires,661.94,C0028
2023-03-30,Chaise Ergonomique,Mobilier,397.44,C0028
2023-06-05,Enceinte Portable,Audio,110.33,C0008
2023-04-09,Webcam HD,Accessoires,1194.06,C0013
2023-03-07,Laptop Pro 15,Informatique,1364.8,C0046
2023-04-22,Laptop Pro 15,Informatique,62.68,C0034
2023-05-18,Montre Connectée,Wearables,1038.82,C0024
2023-04-21,Smartphone X,Téléphonie,476.2,C0043
2023-03-26,Webcam HD,Accessoires,1300.99,C0021
2023-06-19,Smartphone X,Téléphonie,373.5,C0047
2023-03-18,Enceinte Portable,Audio,1391.15,C0020
2023-06-20,Souris Gaming,Accessoires,791.87,C0021
2023-04-14,Imprimante Laser,Bureautique,1875.36,C0036
2023-02-02,Montre Connectée,Wearables,300.92,C0027
2023-06-20,Souris Gaming,Accessoires,701.9,C0044
2023-02-14,Webcam HD,Accessoires,253.54,C0037
2023-03-19,Souris Gaming,Accessoires,1851.65,C0036
2023-01-01,Imprimante Laser,Bureautique,1758.36,C0019
2023-02-23,Souris Gaming,Accessoires,538.15,C0038
2023-06-05,Chaise Ergonomique,Mobilier,1330.17,C0030
2023-04-24,"Tablette 10""",Informatique,1639.93,C0044
2023-02-24,Enceinte Portable,Audio,1123.75,C0031
2023-02-13,Smartphone X,Téléphonie,1073.41,C0019
2023-05-12,Webcam HD,Accessoires,506.45,C0022
2023-01-24,Montre Connectée,Wearables,213.41,C0044
2023-03-21,Montre Connectée,Wearables,1797.52,C0013
2023-02-07,Laptop Pro 15,Informatique,1803.82,C0003
2023-03-04,"Tablette 10""",Informatique,1277.21,C0040
2023-01-19,"Tablette 10""",Informatique,697.89,C0027
2023-06-11,Webcam HD,Accessoires,717.94,C0013
2023-06-28,Souris Gaming,Accessoires,1460.13,C0032
2023-04-13,Montre Connectée,Wearables,1797.31,C0010
2023-06-17,Laptop Pro 15,Informatique,1777.56,C0049
2023-01-28,Souris Gaming,Accessoires,1566.35,C0015
