date,employe_id,departement,motif_absence,duree_jours,type_contrat
2023-03-03,E047,RH,Accident,2,Intérim
2023-10-02,E049,RH,Congé payé,4,Intérim
2023-09-05,E018,Production,Autre,10,CDD
2023-02-21,E013,IT,Congé payé,6,CDI
2023-06-04,E001,Production,Congé payé,5,CDI
2023-01-28,E036,IT,Congé payé,8,CDI
2023-01-07,E037,IT,Formation,8,CDD
2023-06-24,E012,Finance,Accident,8,CDI
2023-02-03,E026,Marketing,Maladie,10,Intérim
2023-12-18,E004,RH,Congé payé,10,CDD
2023-02-13,E016,Finance,Autre,7,Intérim
2023-11-02,E040,RH,Autre,7,CDD
2023-08-15,E020,Production,Formation,5,Intérim
2023-11-14,E004,Production,Maladie,4,Intérim
2023-04-19,E017,Finance,Congé payé,4,CDI
2023-10-10,E005,RH,Maladie,7,CDD
2023-12-19,E039,Marketing,Accident,1,CDI
2023-05-28,E046,IT,Formation,2,Intérim
2023-04-30,E017,Production,Congé payé,7,CDI
2023-10-06,E015,RH,Accident,3,CDI
2023-01-31,E011,IT,Autre,10,CDD
2023-08-13,E008,Marketing,Accident,7,CDD
2023-09-14,E035,Marketing,Formation,2,Intérim
2023-01-21,E028,IT,Autre,5,CDI
2023-02-16,E015,Production,Autre,1,Intérim
2023-05-18,E037,Finance,Congé payé,8,Intérim
2023-11-30,E029,IT,Congé payé,10,CDD
2023-11-22,E032,Finance,Formation,6,CDD
2023-06-20,E021,Finance,Congé payé,6,CDD
2023-12-22,E032,IT,Formation,9,CDI
2023-08-21,E006,IT,Accident,6,CDI
2023-07-26,E033,Finance,Autre,8,CDD
2023-01-28,E013,Production,Accident,10,CDD
2023-11-17,E029,Finance,Congé payé,5,Intérim
2023-03-09,E019,Marketing,Formation,2,CDI
2023-11-19,E039,RH,Congé payé,5,Intérim
2023-01-08,E036,Marketing,Maladie,4,CDI
2023-08-25,E008,RH,Formation,5,Intérim
2023-12-28,E018,Marketing,Formation,8,CDI
2023-08-22,E036,RH,Formation,4,Intérim
2023-09-18,E048,RH,Maladie,5,CDD
2023-06-24,E033,IT,Maladie,5,Intérim
2023-06-02,E038,Production,Formation,3,CDD
2023-10-03,E031,IT,Accident,9,Intérim
2023-07-13,E030,IT,Congé payé,4,Intérim
2023-07-16,E015,Marketing,Maladie,6,Intérim
2023-08-31,E046,Marketing,Formation,3,CDD
2023-01-19,E009,Production,Autre,6,CDI
2023-08-14,E007,Production,Formation,1,Intérim
2023-03-15,E027,RH,Maladie,8,CDD
2023-06-23,E040,Marketing,Maladie,6,Intérim
2023-10-01,E025,IT,Formation,9,CDI
2023-11-13,E005,RH,Accident,4,Intérim
2023-02-16,E028,Finance,Maladie,8,CDI
2023-12-22,E020,Finance,Maladie,6,CDI
2023-05-31,E023,IT,Formation,3,CDI
2023-09-29,E027,Production,Congé payé,3,CDI
2023-02-10,E040,Marketing,Autre,4,CDD
2023-10-26,E010,RH,Formation,5,CDD
2023-05-11,E043,Finance,Formation,5,Intérim
